Tweet,Etiket,cleaned_tweet
ya orospu cocuklari hepiniz niye ayni anda yaziyonuz tam ciddi iliski yapcam biri geliyo surprise motherfucker diye cikiyo sonra suriyeli gibi uruyolar aklim karisiyo,nefret,orospu cocuklari hepiniz ayni anda yaziyonuz tam ciddi iliski yapcam geliyo surprise motherfucker cikiyo sonra suriyeli uruyolar aklim karisiyo
"Ciddiye alan tüm dünyanın beynini sileyim.. 

Işi gücü boş gündem.. 2 sene oldu membice giriyor 1 senedir Fırat'ın doğusuna 6 senedir Suriye de savaş bitiyor..
Sonuç 5 milyon Suriyeli bize girdi.. https://t.co/91cFqVPZtC",saldırgan,ciddiye alan dünyanın beynini sileyim işi gücü boş gündem 2 sene oldu membice giriyor 1 senedir fırat ın doğusuna 6 senedir suriye savaş bitiyor sonuç 5 milyon suriyeli bize girdi
"Kayıtlı İstihdama geçiş programına göre (?)
Şimdilik İstanbul, Bursa, Adana, Hatay ve Konya'da
istihdam edilecek her bir Suriyeli ve Türk işçi için
sosyal güvenlik prim bedeline karşılık
6 ay boyunca, aylık 950 TL teşvik sağlanacakmış.
Bu şey değil mi?
""promosyon""
Yazıklar olsun",hiçbiri,kayıtlı i̇stihdama geçiş programına göre şimdilik i̇stanbul bursa adana hatay konya istihdam edilecek bir suriyeli türk işçi sosyal güvenlik prim bedeline karşılık 6 ay boyunca aylık 950 tl teşvik sağlanacakmış değil mi promosyon yazıklar olsun
"Hastaneye git Suriyeli. PTT ye git Suriyeli. Plaja git Suriyeli. Git bakalım camiye var mı Suriyeli?
Neymiş din kardeşi.
Hadi oradan!",nefret,hastaneye git suriyeli ptt ye git suriyeli plaja git suriyeli git bakalım camiye var suriyeli neymiş din kardeşi hadi oradan
Cölesi bitmiş suriyeli gibiyim bugün,hiçbiri,cölesi bitmiş suriyeli gibiyim bugün
"Çocuklar sadece Türkiye'de değil #Irak ve #Suriye'de de terör örgütlerinin uzantıları aracılığıyla savaştırılıyor.

Iraklı ve Suriyeli çocuklar da örgüt tarafından kandırılarak veya kaçırılarak alıkonuluyor.",hiçbiri,çocuklar sadece türkiye değil terör örgütlerinin uzantıları aracılığıyla savaştırılıyor iraklı suriyeli çocuklar örgüt tarafından kandırılarak kaçırılarak alıkonuluyor
Suriyeli olduğunuzu biliyorduk 😝 https://t.co/DknrYtJFXt,hiçbiri,suriyeli olduğunuzu biliyorduk
"Keşke sadece Suriyeli çalıştıran işverene teşvik verseler?
https://t.co/9DhPneRDU1",hiçbiri,keşke sadece suriyeli çalıştıran işverene teşvik verseler
"Sizin suriyeli, afgan, pakistanlı politikanıza nokta nokta nokta https://t.co/Ul1wiPAHZO",hiçbiri,sizin suriyeli afgan pakistanlı politikanıza nokta nokta nokta
Ülkemde (büyükelçi dahil) Suriyeli istemiyorum.,nefret,lkemde büyükelçi dahil suriyeli istemiyorum
"Bu Sanal Teröristler kendilerini bazen bir ateist, bazen deist, bazen tarikatci, bazen Suriyeli mülteci, bazen CHP li, bazen Akp li, bazen Ülkücü, bazen Radikal solcu, bazen İmamoğlu taraftarı, bazende Reisci  gibi gösterdikleri sahte profillerle PROVAKASYONEL paylaşımlar yapıyor",hiçbiri,sanal teröristler kendilerini bazen bir ateist bazen deist bazen tarikatci bazen suriyeli mülteci bazen chp li bazen akp li bazen lkücü bazen radikal solcu bazen i̇mamoğlu taraftarı bazende reisci gösterdikleri sahte profillerle provakasyonel paylaşımlar yapıyor
"Ülkenin ismini mahmood koyalım. 
Bayrağımızda az yıldız yerine, plaj ve nargile olsun
İş verenlere Suriyeli çalıştırma zorunluluğu getirelim.
Arapçayı önce ikinci resmi dil yapalım sonra da özümüze Osmanlıya dönüyoruz diye tek resmi dil olsun. 
Bunu mu istiyorsunuz o.. çocukları.",saldırgan,lkenin ismini mahmood koyalım bayrağımızda yıldız yerine plaj nargile olsun i̇ş verenlere suriyeli çalıştırma zorunluluğu getirelim arapçayı önce ikinci resmi dil yapalım sonra özümüze osmanlıya dönüyoruz tek resmi dil olsun bunu istiyorsunuz çocukları
"Birkaç ay önce tüm Ankara’yı gezip gitme vakti gelincede yorgunluktan merdivenlere oturmuştum bitap halde Aştideyken Suriyeli sanıp önüme para falan koyan olmuşlardı ,baya üzüldüm evet https://t.co/XlDM9EJoEy",nefret,ay önce ankara yı gezip gitme vakti gelincede yorgunluktan merdivenlere oturmuştum bitap halde aştideyken suriyeli sanıp önüme para falan koyan olmuşlardı baya üzüldüm evet
1 Suriyeli ve 1 Türk işçi alana devletten teşvik https://t.co/ynSTivPzwW https://t.co/WhZ8x9xrbd,hiçbiri,1 suriyeli 1 türk işçi alana devletten teşvik
"Hatta bazı hassas konularda (süresiz nafaka, İst. Szl. 6284 skm,  EYT, Suriyeli mülteciler, cemaat ve tarikatlar, kadın ölümleri vb) sosyal medyada halk arasında sanal çatışma çıkartmakla görevli SAHTE HESAP SAHİBİ yaklaşık 65 bin FETÖCÜ SANAL TERÖRİST olduğu tahmin edilmektedir.",hiçbiri,hatta hassas konularda süresiz nafaka i̇st szl 6284 skm eyt suriyeli mülteciler cemaat tarikatlar kadın ölümleri vb sosyal medyada halk arasında sanal çatışma çıkartmakla görevli sahte hesap sahi̇bi̇ yaklaşık 65 bin fetöc sanal teröri̇st olduğu tahmin edilmektedir
1 Milyon Suriyeli Sınıra Dayandı ! Halk Ne Diyor ? https://t.co/zduf0hwxcL,hiçbiri,1 milyon suriyeli sınıra dayandı halk diyor
"Bir İngiliz 100 yıl önceki gazetesini okuyabiliyor...
Bir Fransız, İtalyan, Yunan, Rus okuyabiliyor
Çinli, Japon, Tayvanlı da 
İranlı, Suriyeli, Ermeni, Gürcü de okuyabiliyor
Peki bir Türk neden 100 yıl önce... https://t.co/APJ2Zl95MO",hiçbiri,bir i̇ngiliz 100 yıl önceki gazetesini okuyabiliyor bir fransız i̇talyan yunan ru okuyabiliyor çinli japon tayvanlı i̇ranlı suriyeli ermeni gürcü okuyabiliyor peki bir türk 100 yıl önce
