,Unnamed: 0,Unnamed: 1,SON ETİKET,Unnamed: 3
0,row ID,Tweet,Etiket,Alt Etiket
1,Row589,ya orospu cocuklari hepiniz niye ayni anda yaziyonuz tam ciddi iliski yapcam biri geliyo surprise motherfucker diye cikiyo sonra suriyeli gibi uruyolar aklim karisiyo,nefret,etnik
2,Row593,"Ciddiye alan tüm dünyanın beynini sileyim.. 

Işi gücü boş gündem.. 2 sene oldu membice giriyor 1 senedir Fırat'ın doğusuna 6 senedir Suriye de savaş bitiyor..
Sonuç 5 milyon Suriyeli bize girdi.. https://t.co/91cFqVPZtC",saldırgan,
3,Row600,"Kayıtlı İstihdama geçiş programına göre (?)
Şimdilik İstanbul, Bursa, Adana, Hatay ve Konya'da
istihdam edilecek her bir Suriyeli ve Türk işçi için
sosyal güvenlik prim bedeline karşılık
6 ay boyunca, aylık 950 TL teşvik sağlanacakmış.
Bu şey değil mi?
""promosyon""
Yazıklar olsun",hiçbiri,
4,Row604,"Hastaneye git Suriyeli. PTT ye git Suriyeli. Plaja git Suriyeli. Git bakalım camiye var mı Suriyeli?
Neymiş din kardeşi.
Hadi oradan!",nefret,etnik
5,Row607,Cölesi bitmiş suriyeli gibiyim bugün,hiçbiri,
6,Row612,"Çocuklar sadece Türkiye'de değil #Irak ve #Suriye'de de terör örgütlerinin uzantıları aracılığıyla savaştırılıyor.

Iraklı ve Suriyeli çocuklar da örgüt tarafından kandırılarak veya kaçırılarak alıkonuluyor.",hiçbiri,
7,Row619,Suriyeli olduğunuzu biliyorduk 😝 https://t.co/DknrYtJFXt,hiçbiri,
8,Row621,"Keşke sadece Suriyeli çalıştıran işverene teşvik verseler?
https://t.co/9DhPneRDU1",hiçbiri,
9,Row635,"Sizin suriyeli, afgan, pakistanlı politikanıza nokta nokta nokta https://t.co/Ul1wiPAHZO",hiçbiri,
10,Row639,Ülkemde (büyükelçi dahil) Suriyeli istemiyorum.,nefret,etnik
11,Row641,"Bu Sanal Teröristler kendilerini bazen bir ateist, bazen deist, bazen tarikatci, bazen Suriyeli mülteci, bazen CHP li, bazen Akp li, bazen Ülkücü, bazen Radikal solcu, bazen İmamoğlu taraftarı, bazende Reisci  gibi gösterdikleri sahte profillerle PROVAKASYONEL paylaşımlar yapıyor",hiçbiri,
12,Row644,"Ülkenin ismini mahmood koyalım. 
Bayrağımızda az yıldız yerine, plaj ve nargile olsun
İş verenlere Suriyeli çalıştırma zorunluluğu getirelim.
Arapçayı önce ikinci resmi dil yapalım sonra da özümüze Osmanlıya dönüyoruz diye tek resmi dil olsun. 
Bunu mu istiyorsunuz o.. çocukları.",saldırgan,
13,Row645,"Birkaç ay önce tüm Ankara’yı gezip gitme vakti gelincede yorgunluktan merdivenlere oturmuştum bitap halde Aştideyken Suriyeli sanıp önüme para falan koyan olmuşlardı ,baya üzüldüm evet https://t.co/XlDM9EJoEy",nefret,etnik
14,Row646,1 Suriyeli ve 1 Türk işçi alana devletten teşvik https://t.co/ynSTivPzwW https://t.co/WhZ8x9xrbd,hiçbiri,
15,Row655,"Hatta bazı hassas konularda (süresiz nafaka, İst. Szl. 6284 skm,  EYT, Suriyeli mülteciler, cemaat ve tarikatlar, kadın ölümleri vb) sosyal medyada halk arasında sanal çatışma çıkartmakla görevli SAHTE HESAP SAHİBİ yaklaşık 65 bin FETÖCÜ SANAL TERÖRİST olduğu tahmin edilmektedir.",hiçbiri,
16,Row657,1 Milyon Suriyeli Sınıra Dayandı ! Halk Ne Diyor ? https://t.co/zduf0hwxcL,hiçbiri,
17,Row659,"Bir İngiliz 100 yıl önceki gazetesini okuyabiliyor...
Bir Fransız, İtalyan, Yunan, Rus okuyabiliyor
Çinli, Japon, Tayvanlı da 
İranlı, Suriyeli, Ermeni, Gürcü de okuyabiliyor
Peki bir Türk neden 100 yıl önce... https://t.co/APJ2Zl95MO",hiçbiri,
18,Row661,Irmağa giren Suriyeli boğuldu https://t.co/ZNV3TzYN8V,hiçbiri,
19,Row662,"KİMİN PARASINI KİME VERİYORSUNUZ!??

Çalışma Bakanlığı öncülüğünde başlatılan programa göre, Suriyeli işçi çalıştırılan iş yerlerine 11 bin 400 TL'ye kadar teşvik verilecek.... https://t.co/6cNA3LPQd6",hiçbiri,
20,Row668,1 suriyeli alana 1 Türk hediye... Çok yakında! https://t.co/N34pJGYR9V,nefret,etnik
